CODE;CAF;CTP;CLA;HCT;NIC;TTA;VFX;?OR
1_D;93.73;2.4;0.05;8.1;13.4;0.7;0.1;118
2_D;1.73;13.1;11.27;0.15;12.2;2.5;1.67;42
3_D;0.05;0.65;3.6;5.9;0.35;5.83;0.1;15
4_D;4.63;26.7;1.97;0.15;12.2;2.7;5.67;122
5_D;0.05;0.65;0.05;0.15;71.9;2.43;3.8;95
6_D;31.63;51.1;4.37;0.15;37.9;4.5;8.27;138
7_D;0.05;7.8;0.05;0.15;0.35;0.25;0.1;8
8_D;0.05;9.1;0.7;2.5;0.35;0.7;0.1;49
9_D;0.05;0.65;0.05;0.4;0.35;7.13;0.1;7
10_D;14.13;11.8;1.97;0.15;9.3;2.1;4.07;138
11_L;27.83;5;0.05;2.4;0.35;6.43;0.1;42
12_L;0.05;2.2;2.9;0.15;4.4;0.7;0.1;7
13_L;0.05;2.2;3.4;0.15;12.9;0.7;0.1;16
14_L;7.33;2.2;0.05;2.4;7.8;2.23;0.1;20
15_L;25.73;16.5;2.47;1.8;11.7;2.3;5.97;110
16_L;0.05;5.2;0.05;0.15;8.5;2.13;0.1;16
17_L;0.05;0.65;0.05;0.15;0.35;6.03;0.1;6
18_L;0.05;13.7;0.05;0.4;4.2;1.93;0.1;20
19_L;0.05;2.2;4.9;0.15;8.8;0.7;0.25;14
20_L;2.63;2.2;0.05;0.15;6;0.7;0.5;9
21_L;6.13;0.65;2.3;0.15;6.9;2.23;1;19
22_L;0.05;0.65;0.05;0.15;0.35;2.03;0.1;2
23_L;66.13;0.65;0.05;10.1;145.7;5.63;0.1;235
24_L;23.73;0.65;0.7;3.1;30.5;0.25;0.1;58
25_B;1.83;0.65;0.05;6;8.9;0.7;0.1;17
26_B;0.05;0.65;0.05;4;0.35;2.03;0.1;6
27_B;0.05;0.65;0.05;2.8;0.35;11.03;0.1;14
28_B;7.63;29.9;2.97;0.15;10;4.6;6.37;140
29_B;0.05;0.65;0.05;0.15;7.1;2.33;0.1;30
30_B;61.43;291.6;172.57;1.2;31.6;19.7;34.67;682
31_B;8.73;79.5;46.87;0.15;12.7;2.8;0.1;151
32_B;0.05;0.65;0.05;0.15;9.3;3.33;0.1;69
33_B;0.05;9.9;0.05;1.3;5.7;2.03;0.25;40
34_B;0.05;0.65;0.05;1.3;12.7;1.83;0.1;16
35_B;0.05;14.3;0.05;4.3;13;0.25;0.1;32
36_B;0.05;0.65;0.05;3.7;4;3.03;0.1;11
37_B;0.05;0.65;0.05;0.15;0.35;0.25;0.1;0
38_B;40.13;0.65;0.05;7.4;58;2.23;0.1;108
